CalcDate,Code,prev_close,open_price,high_price,low_price,volume,close_price,amount,vwap,turnover
2021-08-25,689009.SH,71.73,80.0,86.08,79.0,7237602.0,86.08,606383885.0,83.78243028561117,0.11952727418717769
2021-08-26,689009.SH,86.08,87.76,87.9,81.18,4641920.0,85.1,391849752.0,84.41544705639046,0.07666020383477067
2021-08-27,689009.SH,85.1,83.18,83.4,76.66,3711019.0,78.05,292993921.0,78.95241738185658,0.061286595411964614
2021-08-30,689009.SH,78.05,76.89,78.0,72.63,3494367.0,74.66,260842330.0,74.64651823921186,0.0577086392039277
2021-08-31,689009.SH,74.66,74.99,77.37,73.56,1708299.0000000002,75.0,129094318.0,75.56892440960276,0.02821215134055195
2021-09-01,689009.SH,75.0,73.58,77.85,73.18,1775693.0,75.96,134388560.0,75.68231670677308,0.029325147208046545
2021-09-02,689009.SH,75.96,75.19,82.74,75.0,2308028.0,82.25,184726858.0,80.03666246683316,0.03811653301572584
2021-09-03,689009.SH,82.25,84.47,86.85,80.39,2197260.0,80.5,184183212.0,83.8240408508779,0.03628722586300242
2021-09-06,689009.SH,80.5,80.3,87.5,78.37,2128972.0,86.0,178908582.0,84.03519726891665,0.03515946579831608
2021-09-07,689009.SH,86.0,85.9,87.6,84.2,1146919.0,84.5,97821146.0,85.29037011332099,0.018941094271760682
2021-09-08,689009.SH,84.5,84.0,88.5,83.48,1285872.0,86.0,111471848.0,86.68969228663506,0.021235869990310956
2021-09-09,689009.SH,86.0,87.8,87.92,80.5,2380487.0,84.51,196996632.0,82.75476068552359,0.03931317615254501
2021-09-10,689009.SH,84.51,82.1,83.1,79.0,1925899.0000000002,81.2,155430841.0,80.705603461033,0.03180576354292642
2021-09-13,689009.SH,81.2,81.53,81.97,75.1,2196251.0,77.0,171075492.0,77.89432628602104,0.036270562468185344
2021-09-14,689009.SH,77.0,77.3,79.88,74.74,1678913.0,75.0,129047199.0,76.86354146998683,0.0277268485456118
2021-09-15,689009.SH,75.0,75.0,79.29,75.0,1784477.0,77.99,138422960.0,77.57060472059881,0.029470212877098282
2021-09-16,689009.SH,77.99,77.99,82.2,76.11,2100288.0,81.0,167849063.0,79.9171651697291,0.03468575636627146
2021-09-17,689009.SH,81.0,79.99,83.98,78.93,1820116.9999999998,81.46,148147191.0,81.3943230023125,0.030058798993332768
2021-09-22,689009.SH,81.46,80.0,83.0,79.0,824324.0,79.12,66176350.00000001,80.27953814276911,0.013613514637454652
2021-09-23,689009.SH,79.12,78.9,78.9,75.89,811211.0,77.51,62423117.0,76.9505307497063,0.013396956563880496
2021-09-24,689009.SH,77.51,77.51,80.5,76.5,1018335.0,79.6,80023143.0,78.58233587179072,0.016817560119967857
2021-09-27,689009.SH,79.6,79.6,82.3,76.69,2179595.0,81.01,173487118.0,79.5960341256059,0.035995492592988884
2021-09-28,689009.SH,81.01,80.94,82.94,79.5,1232881.0,81.87,100730666.0,81.7034782756811,0.02036073623931819
2021-09-29,689009.SH,81.87,80.96,82.9,80.01,932331.0,80.7,76038547.0,81.55745867079396,0.01539722453240805
2021-09-30,689009.SH,80.7,80.1,82.51,80.1,1110521.0,80.9,90361832.0,81.36886380356607,0.018339989965960927
2021-10-08,689009.SH,80.9,80.8,82.5,77.82,1498451.0,80.58,120119831.0,80.16266864915836,0.024746561572887068
2021-10-11,689009.SH,80.58,80.88,87.79,80.49,2617596.0,85.0,223069418.0,85.21919272492775,0.04322897484598622
2021-10-12,689009.SH,85.0,85.0,89.88,83.03,1758843.0,89.0,152492720.0,86.70058669250183,0.029046873469029958
2021-10-13,689009.SH,89.0,88.99,92.9,86.07,1274933.0,86.55,112701966.0,88.39834406984524,0.021055215009236624
2021-10-14,689009.SH,86.55,86.61,86.99,82.81,1261792.0,83.99,106263123.0,84.21603798407344,0.020838194522327602
2021-10-15,689009.SH,83.99,84.19,84.19,78.03,1774413.0,78.88,141935879.0,79.99032863262386,0.029304008312738463
2021-10-18,689009.SH,78.88,78.0,80.28,75.21,1878200.9999999998,79.65,144773933.0,77.08117129103861,0.031018042426984967
2021-10-19,689009.SH,79.65,78.66,80.2,78.04,745276.0,78.92,58892719.0,79.02135450490825,0.01230805573408472
2021-10-20,689009.SH,78.92,79.48,80.51,76.18,1140624.0,77.0,89041410.0,78.06377035727812,0.018837133845225996
2021-10-21,689009.SH,77.0,77.18,77.3,75.87,601090.0,76.08,45848164.0,76.2750403433762,0.009926858266200688
2021-10-22,689009.SH,76.08,75.22,77.48,75.1,543835.0,75.68,41375497.0,76.08097492805722,0.008981305570212865
2021-10-25,689009.SH,75.68,76.0,76.76,68.88,2033784.0,68.99,147853826.0,72.69888346058382,0.03358745863692077
2021-10-26,689009.SH,68.99,68.58,70.49,66.15,2667551.0,67.0,180647987.0,67.72053730181729,0.04405396977967012
2021-10-27,689009.SH,67.0,66.84,67.19,62.88,2048070.0,63.1,131380190.0,64.14829082990327,0.03382338852627334
2021-10-28,689009.SH,63.1,62.15,64.62,62.15,1591669.0,64.0,101393192.0,63.70243561946611,0.02628603465322228
2021-10-29,689009.SH,64.0,64.9,64.9,63.05,1358158.0,64.0,87240251.0,64.23424299676473,0.0030658552344620628
2021-11-01,689009.SH,64.0,63.11,64.1,62.48,1074287.0,62.91,67691552.0,63.010677779773935,0.002425055422317982
2021-11-02,689009.SH,62.91,62.61,65.66,62.61,1576977.0,65.25,101134797.0,64.1320685082915,0.0035598090870696047
2021-11-03,689009.SH,65.25,65.99,65.99,63.75,1803691.0,64.41,116281415.0,64.46858968637089,0.004071584818336389
2021-11-04,689009.SH,64.41,65.48,65.48,63.5,1386062.0,64.52,88921607.0,64.15413379776662,0.003128844683747366
2021-11-05,689009.SH,64.52,64.99,64.99,62.9,1128549.0,63.0,71463634.0,63.32346579545948,0.002547544438126438
2021-11-08,689009.SH,63.0,62.8,63.59,61.9,1165931.0,63.24,73165633.0,62.752969944190525,0.0026319291712537034
2021-11-09,689009.SH,63.24,63.23,63.79,62.86,1164760.0,63.3,73907792.0,63.453236718293894,0.0026292857995108315
2021-11-10,689009.SH,63.3,63.02,63.7,62.6,1487045.0,63.49,93704939.0,63.014191904078224,0.0033567999431072366
2021-11-11,689009.SH,63.49,63.49,64.18,62.95,1906141.0,64.06,121247547.0,63.60890773557675,0.004302851628803682
2021-11-12,689009.SH,64.06,64.06,67.54,63.7,3511769.0,66.0,232845240.0,66.30425862293335,0.007927336415108996
2021-11-15,689009.SH,66.0,62.5,65.88,60.01,2626077.0,65.17,167825814.0,63.90742312582609,0.005928008314607306
2021-11-16,689009.SH,65.17,64.01,64.9,63.5,1829993.0,64.19,117279840.0,64.0875894060797,0.004130957972547328
2021-11-17,689009.SH,64.19,64.0,65.46,62.5,1923553.0,62.99,121725380.0,63.28153162403115,0.00434215682845089
2021-11-18,689009.SH,62.99,62.96,63.43,62.23,1938818.0,62.57,121439446.0,62.635815223502156,0.004376615470342381
2021-11-19,689009.SH,62.57,62.37,62.56,60.3,1873166.9999999998,60.87,114216266.0,60.97495097874349,0.004228417350537712
2021-11-22,689009.SH,60.87,61.47,62.4,60.7,1878029.0,62.1,115522021.0,61.51237334460757,0.004239392648073017
2021-11-23,689009.SH,62.1,62.0,63.1,61.4,1568323.0,61.75,97231444.0,61.997078407955506,0.0035402738701073404
2021-11-24,689009.SH,61.75,61.71,62.36,61.32,1374249.0,61.54,84644755.0,61.59346304781739,0.0031021784579586876
2021-11-25,689009.SH,61.54,61.49,62.5,61.28,3144979.0,62.13,194801221.0,61.940388473182175,0.007099358343744442
2021-11-26,689009.SH,62.13,61.8,62.58,61.5,2420997.0,62.14,150034270.0,61.97210075022811,0.005465068368383465
2021-11-29,689009.SH,62.14,61.88,61.88,60.36,2036252.0,60.51,124012737.0,60.90245067899258,0.004596559349415785
2021-11-30,689009.SH,60.51,60.5,61.2,60.36,1535244.0,60.84,93254154.0,60.742236413234636,0.0034656025687559732
2021-12-01,689009.SH,60.84,60.99,61.0,59.78,2116728.0,59.78,127300410.0,60.140183339569376,0.004778222871515989
2021-12-02,689009.SH,59.78,59.67,59.77,57.66,2421344.0,57.73,141367932.0,58.384075951207265,0.005465851673246639
2021-12-03,689009.SH,57.73,57.55,58.78,57.5,1709166.9999999998,58.6,99131078.0,57.99964427115666,0.003858209864772596
2021-12-06,689009.SH,58.6,58.99,58.99,56.3,1719350.9999999998,56.75,98270955.0,57.15584252430133,0.003881198846693523
2021-12-07,689009.SH,56.75,57.48,57.48,56.0,827170.9999999999,57.02,47044399.0,56.87384954259761,0.0018672249768769305
2021-12-08,689009.SH,57.02,56.79,57.39,56.79,2075730.0,57.06,118421183.0,57.05037890284382,0.004685675514800146
2021-12-09,689009.SH,57.06,57.09,58.47,56.1,4402563.0,57.8,253158466.0,57.502519782226855,0.00993818158019833
2021-12-10,689009.SH,57.8,57.8,58.69,56.8,3230761.0,56.82,185169359.0,57.314471420201,0.007292999432426778
2021-12-13,689009.SH,56.82,56.98,57.16,55.9,2031586.0,57.01,115057587.0,56.63436694287123,0.004586026494973224
2021-12-14,689009.SH,57.01,57.19,58.34,56.85,4869284.0,58.25,280543045.0,57.61484542696626,0.010991740165343333
2021-12-15,689009.SH,58.25,57.7,62.18,57.6,10311769.0,61.46,627025655.0,60.806798038241546,0.023277402898052822
2021-12-16,689009.SH,61.46,61.2,61.45,59.5,5420685.0,60.5,327238183.0,60.368418935983186,0.01223645222545535
2021-12-17,689009.SH,60.5,60.7,62.25,59.6,4731970.0,61.25,289897339.0,61.26356232182368,0.010681772661072899
2021-12-20,689009.SH,61.25,61.0,62.55,60.45,5398018.0,62.43,334948876.0,62.05034440418687,0.01218528458472463
2021-12-21,689009.SH,62.43,62.03,65.05,61.5,4211414.0,63.38,267215836.0,63.45038412276732,0.00950668895400006
2021-12-22,689009.SH,63.38,63.4,69.0,63.4,7188220.0,67.04,480422115.0,66.83464265144917,0.01622641983735684
2021-12-23,689009.SH,67.04,66.7,69.39,66.01,5170981.0,66.01,350797655.0,67.83967200807739,0.011672779725299906
2021-12-24,689009.SH,66.01,65.21,66.88,63.0,5093302.0,65.46,332207850.0,65.22445556929473,0.011497430046722172
2021-12-27,689009.SH,65.46,65.0,68.43,63.56,3163564.0,67.08,208640327.0,65.95103718464365,0.0071413114298599575
2021-12-28,689009.SH,67.08,66.6,68.95,66.16,3561048.0000000005,68.15,241602959.0,67.84602706843603,0.00803857699249326
2021-12-29,689009.SH,68.15,68.5,69.68,66.64,3363471.0,67.58,228284458.0,67.871689097364,0.007592574038743171
2021-12-30,689009.SH,67.58,67.99,68.69,66.01,3059763.0,68.24,206003792.0,67.32671517369155,0.006906994922360538
2021-12-31,689009.SH,68.24,69.0,71.25,67.3,2082295.0,70.07,144365535.0,69.3300108774213,0.004700495101044341
2022-01-04,689009.SH,70.07,69.33,70.42,68.81,1219552.0,68.96,84734435.0,69.47996887381596,0.0027529712175598697
2022-01-05,689009.SH,68.96,68.79,69.86,65.86,2318020.0,68.0,157267450.0,67.84559667302267,0.005232611927763744
2022-01-06,689009.SH,68.0,67.62,68.7,66.0,1733797.0,67.66,116498205.0,67.19252888313915,0.003913808708518906
2022-01-07,689009.SH,67.66,67.65,68.26,63.71,1909025.9999999998,63.91,125351331.0,65.6624535234198,0.004309364120245341
2022-01-10,689009.SH,63.91,63.5,64.0,61.53,1206612.0,63.46,76220486.0,63.169010419256566,0.0027237609439879147
2022-01-11,689009.SH,63.46,63.01,65.45,63.01,1358968.0,63.38,87416293.0,64.32549773063089,0.003067683698263707
2022-01-12,689009.SH,63.38,64.0,64.66,63.01,1241690.0,64.1,79304785.0,63.868425291336806,0.0028029447134127238
2022-01-13,689009.SH,64.1,64.0,66.33,62.29,1736118.0,64.88,112197016.0,64.62522478310807,0.00391904804738757
2022-01-14,689009.SH,64.88,64.7,66.99,64.1,1288908.0,66.19,85149681.0,66.06342811123835,0.0029095328662350245
2022-01-17,689009.SH,66.19,66.25,66.66,65.21,1441646.0,65.22,94978746.0,65.88215553610249,0.0032543179330691233
2022-01-18,689009.SH,65.22,65.3,65.99,63.79,1099290.0,65.55,71017392.0,64.60296373113555,0.002481496262358136
2022-01-19,689009.SH,65.55,64.97,65.85,64.09,865096.9999999999,65.1,56394762.0,65.18894644184411,0.0019528377153228318
2022-01-20,689009.SH,65.1,66.0,66.0,64.0,685924.0,64.88,44566500.0,64.97294160869134,0.0015483792650362888
2022-01-21,689009.SH,64.88,64.24,64.8,63.03,953945.0000000001,64.0,60776282.0,63.71046758460917,0.002153399878098802
2022-01-24,689009.SH,64.0,63.6,64.39,60.0,1610439.0,64.21,100522026.0,62.4190211488917,0.0036353449583419965
2022-01-25,689009.SH,64.21,63.3,63.88,62.1,946444.0,62.65,59851222.0,63.23799612021419,0.0021364674003504836
2022-01-26,689009.SH,62.65,62.16,63.5,60.84,1024816.0,61.99,63070893.0,61.54362636805046,0.0023133814312918475
2022-01-27,689009.SH,61.99,62.1,62.1,60.6,752833.0,60.6,46053452.0,61.173529853234385,0.0016994171471403018
2022-01-28,689009.SH,60.6,60.65,61.06,59.6,1042221.9999999999,60.81,63002207.0,60.4498916737509,0.0023526730867627476
2022-02-07,689009.SH,60.81,60.31,62.1,58.82,1500567.0,61.33,90778007.0,60.49580391945178,0.003387324001781114
2022-02-08,689009.SH,61.33,60.8,61.6,59.07,823931.0,60.81,49597915.0,60.19668515931553,0.0018599111216703519
2022-02-09,689009.SH,60.81,60.83,62.18,60.4,1242393.0,61.51,76250056.0,61.373539612666846,0.0028045316394035343
2022-02-10,689009.SH,61.51,61.8,62.2,61.1,603578.0,61.51,37148005.0,61.54632044242832,0.0013624944746532751
2022-02-11,689009.SH,61.51,61.7,61.7,59.41,1018659.0,60.5,61361175.0,60.237208918784404,0.0022994828490366295
2022-02-14,689009.SH,60.5,60.0,60.79,57.6,1233198.0,58.8,72138071.0,58.49674667004001,0.0027837751892107894
2022-02-15,689009.SH,58.8,58.78,58.8,57.5,1099800.0,58.03,63854282.0,58.05990361883979,0.0024826475173443567
2022-02-16,689009.SH,58.03,57.85,58.28,57.4,823414.0,57.43,47498589.0,57.68494220404317,0.0018587440651451044
2022-02-17,689009.SH,57.43,57.19,57.2,56.0,1628407.0,56.35,91762934.0,56.351350737254265,0.003675905251660458
2022-02-18,689009.SH,56.35,55.77,56.26,55.06,1289474.0,55.88,71604398.0,55.52992770695648,0.0029108105335334577
2022-02-21,689009.SH,55.88,55.22,55.85,54.55,1661154.0,55.4,91620074.0,55.15447333600618,0.003749827108589423
2022-02-22,689009.SH,55.4,54.99,55.54,53.68,1274445.0,55.45,69489924.0,54.525635865023595,0.0028768846292434335
2022-02-23,689009.SH,55.45,55.29,57.18,54.69,1370343.0,56.54,77027747.0,56.21055969198952,0.003093361199181867
2022-02-24,689009.SH,56.54,56.24,57.17,55.0,1263943.0,56.01,71032784.0,56.199357091261234,0.0028531778059781576
2022-02-25,689009.SH,56.01,56.31,58.2,56.31,1156433.0,56.71,66272625.0,57.30779474470203,0.0026104887401573796
2022-02-28,689009.SH,56.71,56.57,57.69,55.13,1281982.0,57.05,72590358.0,56.62353917605707,0.0028938983720496027
