ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
002649.SZ,20250818,15.19,5.7242,5.8542,71.5458,50.3224,2.1614,1.2889,1.2866,58534.4532,54864.437,53645.5791,889138.3441,833390.798,0
000672.SZ,20250818,9.11,1.4728,3.5109,14.0747,12.7473,1.0478,1.6209,1.6084,96939.545,96939.545,40664.8803,883119.255,883119.255,0
688083.SH,20250818,77.0,3.978,6.888,204.1453,313.8521,5.0835,14.704,14.614,16958.4547,16958.4547,9793.8543,1305801.0119,1305801.0119,0
000892.SZ,20250818,5.32,11.8014,16.5372,,,5.9602,13.5597,13.0936,98098.0473,71083.6454,50727.2558,521881.6116,378164.9935,1
600839.SH,20250818,10.61,9.1367,11.9006,69.6187,56.0813,3.3124,0.4723,0.4588,461624.4222,461495.8631,354314.5069,4897835.1195,4896471.1075,0
603063.SH,20250818,37.6,11.8149,14.6121,38.7942,32.3415,3.5868,4.5782,4.0349,45457.2054,45457.2054,36755.2654,1709190.923,1709190.923,0
688236.SH,20250818,23.58,1.1045,1.8389,72.3633,70.7381,3.1633,11.2235,11.1133,38356.85,28842.8,17323.01,904454.523,680113.224,0
002241.SZ,20250818,28.31,8.2268,10.5956,37.0892,35.8866,2.9806,0.9791,1.0092,349149.7159,308431.9307,239476.3856,9884428.4571,8731707.9581,0
300775.SZ,20250818,27.69,4.0294,5.8207,39.8927,44.3556,2.7287,9.5379,10.2304,54753.935,53157.5436,36798.6693,1516136.4602,1471932.3823,0
300043.SZ,20250818,4.69,7.6126,11.6473,,,4.151,4.2894,3.9626,124419.8401,124353.9501,81276.2934,583529.0501,583220.026,0
603685.SH,20250818,15.7,1.9111,3.6735,239.33,615.6202,2.3806,2.0962,2.1596,16900.9125,16900.9125,8792.48,265344.3263,265344.3263,0
688526.SH,20250818,17.31,0.8975,3.3001,21.1028,20.0037,2.0882,8.5662,8.215,46612.8056,46612.8056,12677.3149,806867.6649,806867.6649,0
000301.SZ,20250818,8.88,0.2188,0.6486,,,1.7438,0.4264,0.4473,661122.7974,660855.3402,222938.9895,5870770.4409,5868395.421,0
