TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000756.SZ,20250820,18.32,14.99
000757.SZ,20250820,5.53,4.53
000758.SZ,20250820,6.83,5.59
000759.SZ,20250820,8.28,6.78
000761.SZ,20250820,4.05,3.31
000762.SZ,20250820,24.86,20.34
000766.SZ,20250820,25.37,20.75
000767.SZ,20250820,3.3,2.7
000768.SZ,20250820,30.82,25.22
000776.SZ,20250820,22.78,18.64
000777.SZ,20250820,23.13,18.93
000778.SZ,20250820,4.08,3.34
000779.SZ,20250820,10.41,8.51
000782.SZ,20250820,5.96,4.88
000783.SZ,20250820,8.8,7.2
000785.SZ,20250820,3.25,2.66
000786.SZ,20250820,29.35,24.01
000788.SZ,20250820,7.11,5.81
000789.SZ,20250820,6.67,5.45
000790.SZ,20250820,4.66,3.82
000791.SZ,20250820,7.07,5.79
000792.SZ,20250820,21.02,17.2
000793.SZ,20250820,2.7,2.44
000795.SZ,20250820,13.26,10.85
000796.SZ,20250820,5.94,4.86
000797.SZ,20250820,3.07,2.51
000798.SZ,20250820,9.14,7.48
000799.SZ,20250820,63.47,51.93
000800.SZ,20250820,7.78,6.36
000801.SZ,20250820,19.65,16.07
000802.SZ,20250820,5.47,4.47
000803.SZ,20250820,8.14,6.66
000807.SZ,20250820,18.94,15.5
000809.SZ,20250820,3.25,2.66
000810.SZ,20250820,13.72,11.22
000811.SZ,20250820,15.43,12.63
000812.SZ,20250820,5.58,4.56
000813.SZ,20250820,4.54,3.72
000815.SZ,20250820,16.2,13.26
000816.SZ,20250820,3.52,2.88
000818.SZ,20250820,25.8,21.11
000819.SZ,20250820,18.35,15.01
000820.SZ,20250820,2.84,2.57
000821.SZ,20250820,13.38,10.94
000822.SZ,20250820,6.55,5.36
000823.SZ,20250820,15.21,12.45
000825.SZ,20250820,4.57,3.74
000826.SZ,20250820,2.21,1.81
000828.SZ,20250820,12.27,10.04
000829.SZ,20250820,11.57,9.47
000830.SZ,20250820,13.16,10.76
000831.SZ,20250820,50.8,41.56
000833.SZ,20250820,13.71,11.21
000837.SZ,20250820,14.51,11.87
000838.SZ,20250820,3.16,2.58
000839.SZ,20250820,3.0,2.46
000848.SZ,20250820,9.78,8.0
000850.SZ,20250820,5.14,4.2
000851.SZ,20250820,1.63,1.47
000852.SZ,20250820,7.61,6.23
000856.SZ,20250820,13.55,11.09
000858.SZ,20250820,136.85,111.97
000859.SZ,20250820,7.83,6.41
000860.SZ,20250820,17.74,14.52
000862.SZ,20250820,6.16,5.04
000863.SZ,20250820,3.89,3.19
000868.SZ,20250820,6.42,5.26
000869.SZ,20250820,23.96,19.6
000875.SZ,20250820,5.81,4.75
000876.SZ,20250820,10.81,8.85
000877.SZ,20250820,6.31,5.17
000878.SZ,20250820,15.14,12.38
000880.SZ,20250820,58.53,47.89
000881.SZ,20250820,8.71,7.13
000882.SZ,20250820,2.19,1.79
000883.SZ,20250820,5.04,4.12
000885.SZ,20250820,16.56,13.55
000886.SZ,20250820,7.4,6.06
000887.SZ,20250820,24.13,19.75
000888.SZ,20250820,15.19,12.43
000889.SZ,20250820,4.29,3.51
000890.SZ,20250820,4.77,3.91
000892.SZ,20250820,5.86,4.8
000893.SZ,20250820,33.84,27.68
000895.SZ,20250820,27.74,22.7
000897.SZ,20250820,2.67,2.19
000898.SZ,20250820,2.96,2.42
000899.SZ,20250820,10.43,8.53
000900.SZ,20250820,4.8,3.92
000901.SZ,20250820,21.01,17.19
000902.SZ,20250820,15.47,12.65
000903.SZ,20250820,3.24,2.94
000905.SZ,20250820,9.14,7.48
000906.SZ,20250820,7.3,5.98
000908.SZ,20250820,6.04,5.46
000909.SZ,20250820,6.62,5.99
000910.SZ,20250820,8.7,7.12
000911.SZ,20250820,8.76,7.16
000912.SZ,20250820,4.97,4.07
000913.SZ,20250820,18.61,15.23
000915.SZ,20250820,37.44,30.64
000917.SZ,20250820,8.61,7.05
000919.SZ,20250820,7.95,6.51
000920.SZ,20250820,12.5,10.22
000921.SZ,20250820,26.9,22.01
000922.SZ,20250820,13.53,11.07
000923.SZ,20250820,15.79,12.92
000925.SZ,20250820,8.99,7.35
000926.SZ,20250820,3.32,2.72
000927.SZ,20250820,2.99,2.45
000928.SZ,20250820,7.32,5.99
000929.SZ,20250820,8.58,7.76
000930.SZ,20250820,6.88,5.63
000931.SZ,20250820,6.08,4.98
000932.SZ,20250820,6.16,5.04
000933.SZ,20250820,21.16,17.32
000935.SZ,20250820,21.99,17.99
000936.SZ,20250820,8.28,6.78
000937.SZ,20250820,6.66,5.45
000938.SZ,20250820,28.82,23.58
000948.SZ,20250820,22.68,18.56
000949.SZ,20250820,4.43,3.63
000950.SZ,20250820,5.96,4.88
000951.SZ,20250820,19.99,16.35
000952.SZ,20250820,7.62,6.24
000953.SZ,20250820,8.28,6.78
000955.SZ,20250820,5.48,4.48
000957.SZ,20250820,12.22,10.0
000958.SZ,20250820,7.69,6.29
000959.SZ,20250820,4.57,3.74
000960.SZ,20250820,20.22,16.54
000962.SZ,20250820,23.16,18.95
000963.SZ,20250820,50.52,41.34
000965.SZ,20250820,5.07,4.15
000966.SZ,20250820,4.99,4.09
000967.SZ,20250820,7.78,6.36
000968.SZ,20250820,7.88,6.44
000969.SZ,20250820,15.36,12.56
000970.SZ,20250820,16.69,13.65
000972.SZ,20250820,4.02,3.64
000973.SZ,20250820,7.83,6.41
000975.SZ,20250820,19.87,16.25
000977.SZ,20250820,65.95,53.96
000978.SZ,20250820,7.14,5.84
000980.SZ,20250820,2.63,2.15
000981.SZ,20250820,2.31,1.89
000983.SZ,20250820,7.96,6.52
000985.SZ,20250820,20.98,17.16
000987.SZ,20250820,8.83,7.23
000988.SZ,20250820,58.11,47.55
000989.SZ,20250820,13.22,10.82
000990.SZ,20250820,8.88,7.26
000993.SZ,20250820,11.87,9.71
000995.SZ,20250820,16.87,13.81
000997.SZ,20250820,31.96,26.15
000998.SZ,20250820,10.93,8.95
000999.SZ,20250820,33.3,27.24
001201.SZ,20250820,18.18,14.88
001202.SZ,20250820,16.96,13.88
001203.SZ,20250820,13.1,10.72
001205.SZ,20250820,18.18,14.88
001206.SZ,20250820,28.45,23.27
001207.SZ,20250820,28.6,23.4
001208.SZ,20250820,13.87,11.35
001209.SZ,20250820,20.6,16.86
001210.SZ,20250820,16.96,13.88
001211.SZ,20250820,27.6,22.58
001212.SZ,20250820,61.13,50.01
001213.SZ,20250820,4.68,3.83
001215.SZ,20250820,32.98,26.98
001216.SZ,20250820,16.06,13.14
001217.SZ,20250820,12.93,10.58
001218.SZ,20250820,21.32,17.44
001219.SZ,20250820,15.86,12.98
001221.SZ,20250820,53.44,43.72
001222.SZ,20250820,23.78,19.46
001223.SZ,20250820,51.84,42.42
001225.SZ,20250820,44.25,36.21
001226.SZ,20250820,39.14,32.02
001227.SZ,20250820,2.72,2.22
001228.SZ,20250820,28.44,23.27
001229.SZ,20250820,37.83,30.95
001230.SZ,20250820,30.03,24.57
001231.SZ,20250820,23.9,19.56
001234.SZ,20250820,25.98,21.26
001236.SZ,20250820,14.87,12.17
001238.SZ,20250820,51.91,42.47
001239.SZ,20250820,19.01,15.55
001255.SZ,20250820,37.92,31.02
001256.SZ,20250820,27.04,22.12
001258.SZ,20250820,7.89,6.45
001259.SZ,20250820,30.57,25.01
001260.SZ,20250820,22.73,18.59
001266.SZ,20250820,33.48,27.4
001267.SZ,20250820,15.8,12.92
001268.SZ,20250820,38.91,31.83
001269.SZ,20250820,32.34,26.46
001270.SZ,20250820,45.6,41.26
001277.SZ,20250820,59.62,48.78
001278.SZ,20250820,20.86,17.06
001279.SZ,20250820,44.61,36.5
001282.SZ,20250820,23.86,19.52
001283.SZ,20250820,83.84,68.6
001286.SZ,20250820,10.19,8.33
001287.SZ,20250820,25.16,20.58
001288.SZ,20250820,26.37,21.57
001289.SZ,20250820,18.3,14.98
001296.SZ,20250820,23.51,19.23
001298.SZ,20250820,38.59,31.57
001299.SZ,20250820,13.72,11.22
001300.SZ,20250820,14.71,12.03
001301.SZ,20250820,59.93,49.03
001306.SZ,20250820,121.63,99.51
001308.SZ,20250820,27.53,22.53
001309.SZ,20250820,100.12,81.92
001311.SZ,20250820,26.18,21.42
001313.SZ,20250820,8.48,6.94
001314.SZ,20250820,59.86,48.98
001316.SZ,20250820,40.19,32.89
001317.SZ,20250820,51.94,42.5
001318.SZ,20250820,15.87,12.99
001319.SZ,20250820,31.47,25.75
001322.SZ,20250820,9.99,8.17
001323.SZ,20250820,35.4,28.96
001324.SZ,20250820,24.51,20.05
001326.SZ,20250820,39.8,32.56
001328.SZ,20250820,49.63,40.61
001330.SZ,20250820,5.4,4.42
001331.SZ,20250820,13.87,11.35
001332.SZ,20250820,43.08,35.24
001333.SZ,20250820,24.82,20.3
001335.SZ,20250820,44.22,36.18
001336.SZ,20250820,26.15,21.39
001337.SZ,20250820,25.61,20.95
001338.SZ,20250820,13.18,10.78
001339.SZ,20250820,66.36,54.3
001356.SZ,20250820,16.48,13.48
001358.SZ,20250820,27.15,22.21
001359.SZ,20250820,55.39,45.32
001360.SZ,20250820,17.44,14.27
001366.SZ,20250820,14.44,11.82
001367.SZ,20250820,29.39,24.05
001368.SZ,20250820,28.27,23.13
001373.SZ,20250820,36.39,29.77
001376.SZ,20250820,13.41,10.97
001378.SZ,20250820,25.44,20.82
001379.SZ,20250820,24.67,20.19
001380.SZ,20250820,26.47,21.65
001382.SZ,20250820,24.06,19.68
001387.SZ,20250820,16.17,13.23
001388.SZ,20250820,52.35,42.83
001389.SZ,20250820,76.52,62.6
001390.SZ,20250820,27.05,22.13
001391.SZ,20250820,7.51,6.15
001395.SZ,20250820,57.41,46.97
001400.SZ,20250820,82.47,67.47
001696.SZ,20250820,28.01,22.91
001872.SZ,20250820,22.58,18.48
001896.SZ,20250820,6.16,5.04
001914.SZ,20250820,13.9,11.38
001965.SZ,20250820,12.13,9.93
001979.SZ,20250820,10.1,8.26
002001.SZ,20250820,25.47,20.84
002003.SZ,20250820,12.41,10.15
002004.SZ,20250820,5.01,4.1
002005.SZ,20250820,2.81,2.55
002006.SZ,20250820,19.93,16.31
002007.SZ,20250820,18.51,15.15
002008.SZ,20250820,36.38,29.76
002009.SZ,20250820,20.09,16.43
002010.SZ,20250820,6.96,5.7
002011.SZ,20250820,14.84,12.14
002012.SZ,20250820,6.69,5.47
002014.SZ,20250820,12.36,10.12
002015.SZ,20250820,13.61,11.13
002016.SZ,20250820,6.12,5.0
002017.SZ,20250820,37.13,30.38
002019.SZ,20250820,17.31,14.17
002020.SZ,20250820,20.94,17.14
002021.SZ,20250820,2.71,2.21
002022.SZ,20250820,8.29,6.79
002023.SZ,20250820,12.6,10.31
002024.SZ,20250820,2.0,1.81
002025.SZ,20250820,56.02,45.84
002026.SZ,20250820,15.11,12.37
002027.SZ,20250820,8.77,7.17
002028.SZ,20250820,91.52,74.88
002029.SZ,20250820,8.49,6.95
002030.SZ,20250820,7.81,6.39
002031.SZ,20250820,9.23,7.55
002032.SZ,20250820,57.31,46.89
002033.SZ,20250820,9.93,8.13
002034.SZ,20250820,19.59,16.03
002035.SZ,20250820,7.18,5.88
002036.SZ,20250820,12.67,10.37
002037.SZ,20250820,13.12,10.74
002038.SZ,20250820,9.04,7.4
002039.SZ,20250820,17.31,14.17
002040.SZ,20250820,11.04,9.04
002041.SZ,20250820,10.92,8.94
002042.SZ,20250820,5.69,4.65
002043.SZ,20250820,11.44,9.36
002044.SZ,20250820,6.18,5.06
002045.SZ,20250820,18.83,15.41
002046.SZ,20250820,40.49,33.13
002047.SZ,20250820,2.32,2.1
002048.SZ,20250820,25.32,20.72
002049.SZ,20250820,90.42,73.98
002050.SZ,20250820,33.51,27.41
002051.SZ,20250820,9.97,8.15
002052.SZ,20250820,20.08,16.43
002053.SZ,20250820,12.83,10.49
002054.SZ,20250820,7.74,6.34
002055.SZ,20250820,8.98,7.34
002056.SZ,20250820,18.9,15.46
002057.SZ,20250820,11.52,9.42
002058.SZ,20250820,15.08,13.64
002059.SZ,20250820,5.69,4.65
002060.SZ,20250820,4.0,3.28
002061.SZ,20250820,4.46,3.65
002062.SZ,20250820,8.01,6.55
002063.SZ,20250820,7.16,5.86
002064.SZ,20250820,8.36,6.84
002065.SZ,20250820,11.2,9.16
002066.SZ,20250820,14.63,11.97
002067.SZ,20250820,4.83,3.95
002068.SZ,20250820,12.71,10.4
002069.SZ,20250820,4.75,3.89
002072.SZ,20250820,7.94,6.5
002073.SZ,20250820,10.03,8.21
002074.SZ,20250820,35.67,29.19
002075.SZ,20250820,7.22,5.9
002076.SZ,20250820,2.0,1.81
002077.SZ,20250820,15.91,13.01
002078.SZ,20250820,16.04,13.12
002079.SZ,20250820,11.43,9.35
002080.SZ,20250820,36.18,29.6
002081.SZ,20250820,3.93,3.21
002082.SZ,20250820,9.08,7.43
002083.SZ,20250820,5.56,4.55
002084.SZ,20250820,3.93,3.21
002085.SZ,20250820,18.76,15.35
002086.SZ,20250820,3.21,2.63
002088.SZ,20250820,13.04,10.67
002090.SZ,20250820,11.42,9.34
002091.SZ,20250820,8.27,6.77
