ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000074.SH,20250815,7083.6988,7023.8013,7096.2076,6991.8922,7004.2588,79.44,1.1342,5883910.0,21448444.765,2025-08-15 17:53:38
000075.SH,20250815,7819.519,7715.4007,7839.9262,7685.8189,7738.714,80.805,1.0442,7459034.0,28998993.939,2025-08-15 17:53:38
000076.SH,20250815,5838.3703,5842.439,5859.3547,5762.3378,5851.0803,-12.71,-0.2172,61420993.0,79238416.384,2025-08-15 17:53:38
000077.SH,20250815,4854.1507,4724.8628,4868.7776,4720.1953,4746.2452,107.9055,2.2735,17045449.0,90678260.558,2025-08-15 17:53:38
000078.SH,20250815,3168.3091,3150.4612,3173.3733,3143.3818,3151.396,16.9131,0.5367,13696213.0,19480125.885,2025-08-15 17:53:38
000079.SH,20250815,2423.8521,2396.391,2427.2956,2396.391,2399.4323,24.4198,1.0177,18065498.0,13397813.897,2025-08-15 17:53:38
000090.SH,20250815,1343.972,1326.309,1346.7794,1326.309,1329.2321,14.7399,1.1089,665381510.0,945704013.563,2025-08-15 17:53:38
000091.SH,20250815,13797.5899,13489.2508,13797.5899,13489.2508,13519.6443,277.9456,2.0559,34954074.0,58196817.759,2025-08-15 17:53:38
000092.SH,20250815,3843.2115,3765.2108,3858.3074,3765.2108,3779.9194,63.2921,1.6744,35910844.0,59858838.207,2025-08-15 17:53:38
000093.SH,20250815,11527.5392,11418.3269,11564.6415,11409.7784,11441.0127,86.5265,0.7563,172132678.0,291119241.672,2025-08-15 17:53:38
000094.SH,20250815,3465.5925,3402.9077,3482.2874,3402.9077,3419.126,46.4665,1.359,31448189.0,49228690.005,2025-08-15 17:53:38
000095.SH,20250815,3252.0877,3191.638,3254.4479,3191.638,3205.1228,46.9649,1.4653,94555343.0,208722102.733,2025-08-15 17:53:38
000096.SH,20250815,4352.6793,4324.4517,4370.3826,4318.6576,4331.553,21.1263,0.4877,48639816.0,103089469.231,2025-08-15 17:53:38
000097.SH,20250815,9334.2023,9123.0658,9340.806,9123.0658,9150.0692,184.1331,2.0124,30052160.0,115094282.932,2025-08-15 17:53:38
000098.SH,20250815,5373.4915,5357.1451,5393.0061,5345.0088,5364.2227,9.2688,0.1728,208156415.0,251820994.742,2025-08-15 17:53:38
000099.SH,20250815,8482.9884,8336.9058,8484.9289,8336.9058,8337.4881,145.5003,1.7451,114793150.0,177576535.468,2025-08-15 17:53:38
000100.SH,20250815,6018.9511,5986.9987,6037.3707,5979.5856,5993.7267,25.2244,0.4208,322949566.0,429397530.21,2025-08-15 17:53:38
000102.SH,20250815,6168.8756,6043.6372,6191.8474,6043.3117,6067.2439,101.6317,1.6751,31091039.0,59901381.4,2025-08-15 15:09:19
