ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
002745.SZ,20250820,60958.0,7637.9,83700.93,4365.53,48029.78,17691.93,194453.11,16082.72,176683.22,21333.98,234914.67,22023.0,242304.75,16967.22,186935.08,21159.79,232986.04,4247.77,45967.95
002887.SZ,20250820,5145.0,588.84,6513.0,0.0,0.0,1558.43,17272.0,1389.02,15413.35,2957.04,32831.65,3250.6,36054.0,2160.33,23997.1,2625.02,29146.4,54.21,499.95
603617.SH,20250820,51546.0,902.11,9192.0,1452.43,14847.0,5404.05,55120.0,5557.93,56663.8,10616.17,108309.21,10079.21,102809.88,22936.24,233979.58,22769.0,232280.11,-5130.74,-52643.21
300256.SZ,20250820,131138.0,23714.86,495566.92,8959.9,188245.42,42978.59,905173.0,42392.93,893266.0,53062.71,1119168.33,59232.25,1247417.03,41612.29,875880.1,50783.38,1066859.9,27490.06,574586.21
300908.SZ,20250820,8521.0,106.56,332.0,728.14,2291.96,2237.84,7032.69,1912.15,6024.46,5056.49,15894.34,3982.12,12508.24,3567.19,11224.01,4345.67,13658.38,-491.28,-1563.68
603648.SH,20250820,10347.0,215.07,1838.0,198.91,1704.0,1239.58,10548.0,1370.47,11679.45,4537.46,38706.0,4534.58,38655.0,6895.49,58814.45,6783.62,57868.0,-1572.87,-13467.35
301316.SZ,20250820,44534.0,8556.0,17292.0,15326.13,31126.88,27426.67,55499.0,32779.07,66312.12,29277.64,59249.76,28387.57,57369.0,28975.35,58648.44,17742.89,35881.2,3495.23,6905.92
301075.SZ,20250820,14427.0,2613.51,6363.0,2040.77,4966.0,6060.18,14801.0,5337.01,13033.0,6497.53,15875.96,6978.91,17054.0,5970.39,14592.0,6784.93,16578.96,-760.27,-1852.36
300127.SZ,20250820,43554.0,3125.21,9770.0,4971.5,15574.0,15390.56,48081.99,17104.07,53592.0,22338.26,69897.0,22162.03,69397.39,22571.84,70892.0,19188.27,60077.6,-2086.73,-6653.05
601083.SH,20250820,14240.0,80.12,654.0,596.66,4860.0,816.54,6666.0,1190.63,9719.0,1853.43,15131.0,1766.84,14422.0,5397.94,44058.0,4593.88,37508.0,623.59,5057.0
688393.SH,20250820,5472.0,141.05,448.21,571.24,1844.48,2246.41,7254.07,2272.98,7353.43,3288.42,10633.86,3237.57,10467.67,4490.17,14528.96,4084.27,13199.52,-1607.03,-5188.46
000034.SZ,20250820,124212.0,38489.88,85671.87,43977.08,98360.99,91066.24,202897.47,87706.2,195810.18,97765.28,218233.92,97919.23,218346.78,62511.76,140022.34,60230.66,134307.65,-7288.92,-17966.08
601515.SH,20250820,32234.0,680.46,15197.0,1856.35,41589.0,3493.21,78118.36,4422.91,98965.22,7023.32,157203.99,6403.76,143207.42,10700.55,239474.58,9214.52,206232.29,-197.34,-4875.89
300602.SZ,20250820,101243.0,22910.59,67874.33,23743.57,70303.88,47870.33,141662.59,54370.93,161421.76,60173.25,178351.34,60147.15,178372.46,55078.34,163577.05,47770.86,141367.21,-5729.94,-17869.71
300613.SZ,20250820,30198.0,5672.31,10071.0,4953.55,8823.85,17922.82,31764.0,19885.24,35329.23,25544.38,45411.79,26105.66,46369.84,18865.89,33600.06,17060.96,30323.93,-6660.02,-11996.47
603816.SH,20250820,18833.0,588.33,2119.0,649.05,2325.0,3462.35,12438.7,3714.33,13345.86,6861.95,24697.84,6878.32,24769.44,11731.98,42287.92,11402.91,41103.16,2790.46,10000.7
002338.SZ,20250820,30538.0,14264.77,25322.01,7163.02,12698.0,17619.43,31355.0,17668.88,31472.25,21180.83,37785.4,23310.19,41591.2,14976.16,26783.09,19899.11,35484.05,10376.07,18184.96
002272.SZ,20250820,274676.0,76148.46,393485.98,114576.54,593492.44,95758.77,499299.9,121742.56,635738.88,132771.21,693789.5,125524.98,656845.59,151365.55,792672.45,94199.91,493170.92,-29595.65,-149285.93
688050.SH,20250820,11556.0,1500.33,1981.3,3525.55,4665.19,8338.72,10987.61,6667.87,8774.17,11219.24,14776.88,9468.76,12463.06,11894.42,15662.02,13290.53,17505.39,-2548.12,-3364.77
688141.SH,20250820,46589.0,3608.1,10853.52,3384.45,10254.32,15811.04,47671.52,14455.42,43627.52,30339.06,91495.97,29856.26,90014.2,36886.57,111251.26,38948.64,117376.23,-5573.99,-17143.71
600273.SH,20250820,17977.0,266.68,3023.0,0.0,0.0,2606.54,29476.0,4167.48,47100.0,4769.9,53963.1,4237.44,47937.1,6718.54,76022.0,5956.73,67447.0,3723.51,42019.9
002416.SZ,20250820,38942.0,5471.67,42990.0,4374.32,34425.0,11447.06,90006.0,12571.55,98875.0,15240.73,119835.74,17165.67,134983.4,15770.12,124058.71,13818.05,108607.05,2038.12,15756.05
688073.SH,20250820,3117.0,126.53,210.74,105.2,178.34,968.97,1644.02,994.37,1685.67,1730.54,2939.5,1629.82,2765.57,2954.34,5020.33,3050.99,5185.01,-219.52,-384.19
603288.SH,20250820,42114.0,2793.57,7096.86,4362.75,11090.35,12676.54,32214.22,15043.97,38227.26,22933.88,58296.29,22031.04,55983.12,33636.48,85489.9,30602.71,77796.54,12966.69,32855.29
605365.SH,20250820,7424.0,0.0,0.0,0.0,0.0,648.72,4007.0,531.81,3282.0,1483.63,9186.0,1857.0,11493.0,3397.29,21026.0,3140.84,19444.0,-231.73,-1445.0
301083.SZ,20250820,5095.0,147.6,856.0,172.5,1000.0,606.48,3525.0,812.83,4726.0,1852.73,10776.0,1755.66,10210.0,2011.71,11708.01,1877.54,10929.01,225.38,1283.01
301077.SZ,20250820,7850.0,576.94,2457.0,707.63,3012.0,2853.66,12107.01,3415.17,14497.14,3470.49,14727.29,3610.76,15324.15,3325.16,14121.12,2492.69,10579.13,942.1,3976.42
601098.SH,20250820,9349.0,283.14,2163.0,110.62,847.0,1150.27,8795.0,1106.96,8457.0,2484.34,18996.0,2985.23,22821.0,4384.79,33527.0,4099.73,31356.0,377.62,2831.0
603790.SH,20250820,7437.0,458.39,2389.0,574.8,3000.0,1358.92,6988.2,1814.96,9322.0,3590.19,18433.0,3356.79,17210.0,4030.12,20692.6,3691.07,18970.8,2752.72,14052.8
603320.SH,20250820,16576.0,356.64,1692.0,615.03,2915.0,1635.37,7744.7,1449.8,6874.0,4480.69,21196.0,4487.6,21236.95,7868.21,37232.75,7788.48,36839.5,-1278.12,-6034.85
000680.SZ,20250820,18013.0,1414.66,14457.0,2848.19,29212.0,4388.07,44947.6,4805.74,49250.0,7612.02,77967.0,8543.27,87462.17,9175.37,93978.55,6392.91,65425.98,-1030.18,-10818.43
688620.SH,20250820,17965.0,0.0,0.0,396.13,2875.64,3708.2,26921.88,3402.65,24679.22,7674.8,55759.01,7619.47,55352.67,9773.05,71133.59,9737.8,70906.95,1412.04,10066.6
300643.SZ,20250820,26922.0,1696.51,6414.0,3232.15,12180.0,9277.29,34702.4,8949.72,33476.0,14685.4,54972.0,11590.85,43440.89,9934.47,37341.0,11820.95,44332.51,2449.72,8934.46
600690.SH,20250820,75854.0,7220.75,28783.66,7533.9,30025.9,30338.32,121072.01,31890.33,127275.72,42025.45,167771.01,45561.87,181859.93,56401.44,225171.12,50999.86,203636.25,-2367.91,-9725.06
603077.SH,20250820,21258.0,2012.63,106315.2,2424.78,127430.8,5229.32,275413.98,5688.31,299186.92,7052.74,371163.76,6693.14,352598.1,9023.16,475184.0,8511.63,448861.12,1525.9,77878.58
688799.SH,20250820,7321.0,493.88,950.48,446.51,857.08,4925.64,9515.16,4167.73,8047.17,5989.11,11562.58,6579.39,12700.67,6075.89,11728.0,6290.88,12151.3,-1190.11,-2342.44
