TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
399904.SZ,20250815,4816.3204,4829.3527,4948.1226,4825.7457,4940.5126,57427935137.0,1055926080174.0,124.1922,0.025786
000905.SH,20250815,6323.4999,6335.4267,6570.4994,6335.4267,6568.57,103345394800.0,1670374698356.0,245.0701,0.038755
399905.SZ,20250815,6323.4999,6335.4267,6570.4994,6335.4267,6568.57,103345394800.0,1670374698356.0,245.0701,0.038755
000907.SH,20250815,5499.7063,5512.282,5682.9903,5512.2343,5677.9999,160773330029.0,2726300778072.0,178.2936,0.032419
000906.SH,20250815,4474.8318,4481.3374,4609.0889,4477.3277,4598.8385,209755164800.0,3880688209510.0,124.0067,0.027712
399333.SZ,20250815,8385.1424,8425.8706,8655.444,8425.8706,8647.0835,23233946665.0,534634474746.5,261.9411,0.031239
801001.SI,20250815,3154.09,3155.01,3306.83,3155.01,3294.41,28110960000.0,997139190000.0,140.32,0.044488
801002.SI,20250815,7113.8,7139.03,7334.05,7139.03,7334.05,161361880000.0,2071914140000.0,220.25,0.030961
801003.SI,20250815,4096.37,4102.77,4225.88,4102.77,4222.35,690530370000.0,10364621230000.0,125.98,0.030754
801010.SI,20250815,2839.92,2849.88,2865.79,2810.89,2835.81,10468970000.0,97430500000.0,-4.11,-0.001447
801030.SI,20250815,3814.15,3834.08,3908.04,3819.91,3908.04,35994530000.0,496821510000.0,93.89,0.024616
801040.SI,20250815,2508.62,2522.01,2522.01,2431.66,2457.37,16020870000.0,69337370000.0,-51.25,-0.02043
801050.SI,20250815,5699.68,5742.06,5926.45,5657.65,5905.88,32891630000.0,496569860000.0,206.2,0.036177
801080.SI,20250815,4948.23,4951.52,5299.69,4951.51,5295.44,57704680000.0,1541334270000.0,347.21,0.070169
801110.SI,20250815,8639.49,8632.73,8849.68,8622.39,8849.68,10791680000.0,159646050000.0,210.19,0.024329
801120.SI,20250815,16781.2,16801.58,17192.36,16778.78,16861.07,7674790000.0,173319020000.0,79.87,0.004759
801130.SI,20250815,1661.82,1651.16,1668.07,1626.98,1638.97,10453440000.0,82316650000.0,-22.85,-0.01375
801140.SI,20250815,2209.05,2211.68,2246.85,2207.39,2243.58,11228620000.0,107938240000.0,34.53,0.015631
801150.SI,20250815,8759.57,8754.87,9062.44,8754.82,9029.09,45366320000.0,815930880000.0,269.52,0.030769
801160.SI,20250815,2391.77,2393.28,2393.28,2363.11,2378.73,19028360000.0,144538560000.0,-13.04,-0.005452
801170.SI,20250815,2260.94,2260.41,2262.79,2230.25,2250.31,17040700000.0,121080730000.0,-10.63,-0.004702
801180.SI,20250815,2135.43,2150.2,2221.07,2150.2,2219.49,20823670000.0,120755060000.0,84.06,0.039364
801200.SI,20250815,2204.86,2205.06,2257.56,2201.49,2226.46,13132840000.0,117945480000.0,21.6,0.009797
801210.SI,20250815,8706.64,8702.72,8786.07,8599.09,8741.54,7456550000.0,83207100000.0,34.9,0.004008
801230.SI,20250815,3201.25,3231.23,3296.26,3166.95,3294.41,2402420000.0,16817800000.0,93.16,0.029101
801811.SI,20250815,3638.17,3640.99,3747.62,3637.63,3731.53,86753040000.0,1799758350000.0,93.36,0.025661
801812.SI,20250815,3906.38,3915.64,4058.61,3915.64,4054.97,94030990000.0,1643198600000.0,148.59,0.038038
